"ID","age","gender","Native language","Trial pos","Trial ID","scene type","Adjective1","Adjective2","adjective type","prompt","stimulus file","scale pos","response"
"01","27","male","e"
"","","","",1,"4","isolated","long","short","relative","this item is...
","C:\Python27\exp1_isolated\trial4\long_greenarrow4.jpg","4",3
"","","","",2,"9","isolated","short","long","relative","this item is...
","C:\Python27\exp1_isolated\trial9\long_greenline2.jpg","2",3
"","","","",3,"8","isolated","short","long","relative","this item is...
","C:\Python27\exp1_isolated\trial8\long_greenline1.jpg","1",1
"","","","",4,"1","isolated","long","short","relative","this item is...
","C:\Python27\exp1_isolated\trial1\long_greenarrow1.jpg","1",2
"","","","",5,"3","isolated","long","short","relative","this item is...
","C:\Python27\exp1_isolated\trial3\long_greenarrow3.jpg","3",3
"","","","",6,"5","isolated","long","short","relative","this item is...
","C:\Python27\exp1_isolated\trial5\long_greenarrow5.jpg","5",1
"","","","",7,"2","isolated","long","short","relative","this item is...
","C:\Python27\exp1_isolated\trial2\long_greenarrow2.jpg","2",2
"","","","",8,"6","isolated","long","short","relative","this item is...
","C:\Python27\exp1_isolated\trial6\long_greenarrow6.jpg","6",1
"","","","",9,"7","isolated","long","short","relative","this item is...
","C:\Python27\exp1_isolated\trial7\long_greenarrow7.jpg","7",1
